datetime,CO,NO2,TEMP,RH,AH
2004-03-16T17:00:00Z,2.9,133,28,19.1,0.7098
2004-03-16T18:00:00Z,3.4,139,23.9,25.7,0.7519
2004-03-16T19:00:00Z,3.9,137,21.3,34.8,0.873
2004-03-16T20:00:00Z,3.2,143,20.4,36.7,0.8704
2004-03-16T21:00:00Z,5.1,177,19,41.3,0.9007
2004-03-16T22:00:00Z,2.6,138,17.9,45.9,0.9342
2004-03-16T23:00:00Z,1.7,117,16.7,48.9,0.9226
2004-03-17T00:00:00Z,1.7,107,15.5,52.9,0.9271
2004-03-17T01:00:00Z,1.2,90,15.5,51.9,0.9059
2004-03-17T02:00:00Z,0.9,79,14.1,55.6,0.891
2004-03-17T05:00:00Z,0.5,40,11.8,58,0.8026
2004-03-17T06:00:00Z,0.5,53,11.9,57.4,0.7978
2004-03-17T07:00:00Z,1.6,84,9.9,65.2,0.7956
2004-03-17T08:00:00Z,4.1,108,11.1,60.2,0.7958
2004-03-17T09:00:00Z,6.6,127,14.1,50,0.802
2004-03-17T10:00:00Z,4.3,134,17.7,40.1,0.8048
2004-03-17T11:00:00Z,2.9,135,21.1,33.4,0.8265
2004-03-17T12:00:00Z,2.5,142,24.3,28.3,0.8471
2004-03-17T13:00:00Z,2.8,153,25.6,25.6,0.8254
2004-03-17T14:00:00Z,2.6,123,25.9,25.9,0.8503
2004-03-17T15:00:00Z,2,104,26.8,18.7,0.65
2004-03-17T16:00:00Z,2.9,129,29.3,15.8,0.6309
2004-03-17T17:00:00Z,2.5,114,28.5,14.9,0.5708
2004-03-17T18:00:00Z,5,158,25.9,16,0.5237
2004-03-17T19:00:00Z,7.6,194,23.1,26.5,0.7403
2004-03-17T20:00:00Z,6.7,182,20.5,38.2,0.9133
2004-03-17T21:00:00Z,5.7,180,19.1,42.6,0.9294
2004-03-17T22:00:00Z,2.8,136,17.2,44.1,0.8558
2004-03-17T23:00:00Z,2.6,127,16,50.9,0.9206
2004-03-18T00:00:00Z,2.3,116,14.8,53.9,0.9024
2004-03-18T01:00:00Z,1.4,107,14.3,55.4,0.8975
2004-03-18T02:00:00Z,1,88,14.8,52.1,0.8686
2004-03-18T05:00:00Z,0.6,57,12,58.9,0.8233
2004-03-18T06:00:00Z,0.7,71,10.9,62.1,0.8113
2004-03-18T07:00:00Z,1.5,85,10.6,63.3,0.8067
2004-03-18T08:00:00Z,4.7,124,11.5,60,0.8117
2004-03-18T09:00:00Z,6.6,151,14.3,50.6,0.8186
2004-03-18T10:00:00Z,4.5,150,17.8,40.5,0.821
2004-03-18T11:00:00Z,2.8,152,20.8,34.4,0.8365
2004-03-18T12:00:00Z,2.2,139,23.8,28.2,0.8219
2004-03-18T13:00:00Z,2.2,133,24.2,28.7,0.8515
2004-03-18T14:00:00Z,2.3,126,25.2,24.9,0.7829
2004-03-18T15:00:00Z,2.2,128,27,17.8,0.6275
2004-03-18T16:00:00Z,2.8,169,27.1,23.1,0.818
2004-03-18T17:00:00Z,2.7,149,25.8,23.9,0.7832
2004-03-18T18:00:00Z,3.7,156,23,26.8,0.7446
2004-03-18T19:00:00Z,5.1,168,20.7,31.1,0.7523
2004-03-18T20:00:00Z,5.1,176,18.6,36.2,0.7676
2004-03-18T21:00:00Z,3.2,135,16,48.4,0.8768
2004-03-18T22:00:00Z,2.1,121,14.5,57.8,0.9456
2004-03-18T23:00:00Z,1.7,99,13.1,64.2,0.9606
2004-03-19T00:00:00Z,2,106,12,69.7,0.9735
2004-03-19T01:00:00Z,1.6,96,11.9,71.1,0.9915
2004-03-19T02:00:00Z,0.9,63,12.5,69.3,1.0029
2004-03-19T05:00:00Z,0.5,28,12.5,66.8,0.962
2004-03-19T06:00:00Z,0.7,61,12.3,66.3,0.9487
2004-03-19T07:00:00Z,1.5,99,12.4,64.9,0.9332
2004-03-19T08:00:00Z,4.8,157,13,61.6,0.9209
2004-03-19T09:00:00Z,6.2,166,13.6,58.8,0.912
2004-03-19T10:00:00Z,4,149,13.9,57.1,0.9032
2004-03-19T11:00:00Z,3.3,135,14.5,54.4,0.8917
2004-03-19T12:00:00Z,2.8,127,15.5,50.1,0.8744
2004-03-19T13:00:00Z,3,122,16.1,47.6,0.8655
2004-03-19T14:00:00Z,3.3,135,16.3,47.1,0.864
2004-03-19T15:00:00Z,3.5,139,16.4,47.5,0.8791
2004-03-19T16:00:00Z,4,147,16.1,50.2,0.9094
2004-03-19T17:00:00Z,4.6,158,16,50.7,0.9142
2004-03-19T18:00:00Z,4.1,146,15.8,50.3,0.8989
2004-03-19T19:00:00Z,4.5,144,15.5,50.6,0.884
2004-03-19T20:00:00Z,3.9,138,15.4,51.4,0.8956
2004-03-19T21:00:00Z,4,143,15.2,53.1,0.9117
2004-03-19T22:00:00Z,2.2,116,14.7,57.6,0.9573
2004-03-19T23:00:00Z,2.1,109,14.2,58.3,0.938
2004-03-20T00:00:00Z,1.7,92,13.8,57.9,0.9085
2004-03-20T01:00:00Z,1.6,83,13.9,55.9,0.8842
2004-03-20T02:00:00Z,1.3,81,13.9,55.6,0.8765
2004-03-20T05:00:00Z,0.8,53,13.6,55.1,0.856
2004-03-20T06:00:00Z,0.8,67,13.6,59,0.9129
2004-03-20T07:00:00Z,1.1,91,13.5,58.4,0.896
2004-03-20T08:00:00Z,2.1,113,13.8,58,0.9083
2004-03-20T09:00:00Z,2.4,102,14.6,53.1,0.8765
2004-03-20T10:00:00Z,2.6,107,15,52.3,0.8881
2004-03-20T11:00:00Z,2.8,113,15.4,52.1,0.9046
2004-03-20T12:00:00Z,2.6,108,16.3,50,0.9158
2004-03-20T13:00:00Z,2.6,105,17.1,47.9,0.9281
2004-03-20T14:00:00Z,2.1,93,19,42.9,0.937
2004-03-20T15:00:00Z,1.7,87,19.5,42.3,0.9476
2004-03-20T16:00:00Z,1.6,76,19.5,42.3,0.9493
2004-03-20T17:00:00Z,2.1,94,19.1,43.8,0.9556
2004-03-20T18:00:00Z,2.3,110,18.5,46.3,0.9744
2004-03-20T19:00:00Z,3.5,136,17.4,51.6,1.0159
2004-03-20T20:00:00Z,3.9,139,17.1,51.3,0.9914
2004-03-20T21:00:00Z,3.3,125,16.4,53.8,0.9964
2004-03-20T22:00:00Z,2.3,111,16.2,55.4,1.0132
2004-03-20T23:00:00Z,2.1,97,15.9,57.7,1.0356
2004-03-21T00:00:00Z,2.8,107,15.7,58.6,1.0396
2004-03-21T01:00:00Z,2.1,90,15.1,60.9,1.0398
2004-03-21T02:00:00Z,1.6,84,15.6,56.6,0.9951
2004-03-21T05:00:00Z,1.1,66,14.9,60.6,1.0196
2004-03-21T06:00:00Z,0.7,36,14.5,63,1.0316
2004-03-21T07:00:00Z,0.8,62,14.2,66.2,1.063
2004-03-21T08:00:00Z,1.2,91,14.5,65.3,1.0704
2004-03-21T09:00:00Z,1.4,89,15.3,62.1,1.073
2004-03-21T10:00:00Z,1.7,93,16.3,59,1.0868
2004-03-21T11:00:00Z,1.8,81,18.9,49.6,1.07
2004-03-21T12:00:00Z,1.8,82,19.4,46.1,1.0249
2004-03-21T13:00:00Z,1.9,80,20.8,41.6,1.0091
2004-03-21T14:00:00Z,1.3,48,21.4,40.3,1.0126
2004-03-21T15:00:00Z,1.6,61,21.2,39.3,0.9791
2004-03-21T16:00:00Z,1.9,89,20.3,38,0.8942
2004-03-21T17:00:00Z,2.3,105,19.4,41.3,0.9206
2004-03-21T18:00:00Z,3.8,116,18.5,43.8,0.9252
2004-03-21T19:00:00Z,3.5,119,17.8,48.1,0.9689
2004-03-21T20:00:00Z,4.3,144,17.9,46.9,0.952
2004-03-21T21:00:00Z,2.8,123,17.4,49.1,0.9688
2004-03-21T22:00:00Z,1.9,105,17,51.7,0.9914
2004-03-21T23:00:00Z,1.9,93,16.4,55.1,1.0198
2004-03-22T00:00:00Z,1.7,86,16.1,60,1.0919
2004-03-22T01:00:00Z,1.5,76,15.8,60.5,1.0805
2004-03-22T02:00:00Z,0.6,33,16.3,57,1.0491
2004-03-22T05:00:00Z,0.3,23,16.5,53.9,1.0049
2004-03-22T06:00:00Z,0.6,46,16.4,54,0.9979
2004-03-22T07:00:00Z,1.2,76,15.7,57.6,1.0195
2004-03-22T08:00:00Z,3.6,116,15.8,53.7,0.9571
2004-03-22T09:00:00Z,3.7,115,17.4,42.1,0.8281
2004-03-22T10:00:00Z,1.8,83,17.9,38.4,0.7793
2004-03-22T11:00:00Z,1.6,87,18.5,36.7,0.7764
2004-03-22T12:00:00Z,1.9,90,21,29.6,0.7263
2004-03-22T13:00:00Z,2,87,21.3,28.1,0.7067
2004-03-22T14:00:00Z,2.2,99,21.3,26.1,0.6539
2004-03-22T15:00:00Z,2.1,99,21.3,26.8,0.6681
2004-03-22T16:00:00Z,2.3,101,21.3,24.2,0.606
2004-03-22T17:00:00Z,2.6,103,20.2,28.5,0.6682
2004-03-22T18:00:00Z,3.8,129,17,43.1,0.8264
2004-03-22T19:00:00Z,4.4,143,15.6,47.4,0.8347
2004-03-22T20:00:00Z,4.5,146,15.3,47.4,0.8178
2004-03-22T21:00:00Z,3.3,124,14.5,49.7,0.8177
2004-03-22T22:00:00Z,2,113,13.9,52,0.8231
2004-03-22T23:00:00Z,1.1,80,14.5,49.4,0.8106
2004-03-23T00:00:00Z,0.9,72,13.8,51.4,0.8071
2004-03-23T01:00:00Z,0.8,64,14,51.3,0.8163
2004-03-23T02:00:00Z,0.7,70,13,56.8,0.8444
2004-03-23T05:00:00Z,0.3,22,8.8,80.5,0.9147
2004-03-23T06:00:00Z,0.5,47,9.6,75.4,0.9004
2004-03-23T07:00:00Z,1.1,88,9.8,75,0.9093
2004-03-23T08:00:00Z,3,130,10,74.2,0.9117
2004-03-23T09:00:00Z,3.8,132,11.2,69.7,0.9232
2004-03-23T10:00:00Z,3.4,132,12,62.9,0.8803
2004-03-23T11:00:00Z,3,131,12.8,55.8,0.821
2004-03-23T12:00:00Z,2.7,129,13.1,54.8,0.8234
2004-03-23T13:00:00Z,3.5,132,13.8,53.4,0.8351
2004-03-23T14:00:00Z,2.8,110,16,42.4,0.7674
2004-03-23T15:00:00Z,1.9,99,14.1,49.8,0.7971
2004-03-23T16:00:00Z,2,100,12,61.1,0.8537
2004-03-23T17:00:00Z,3,122,13.6,54.6,0.8465
2004-03-23T18:00:00Z,1.9,97,13.7,49.5,0.7695
2004-03-23T19:00:00Z,2.7,112,11.7,57.1,0.7822
2004-03-23T20:00:00Z,3.3,128,11.5,58.2,0.7867
2004-03-23T21:00:00Z,1.7,101,12.6,54.2,0.7881
2004-03-23T22:00:00Z,1.3,96,12,54.9,0.7664
2004-03-23T23:00:00Z,1.3,86,11,61.4,0.8057
2004-03-24T00:00:00Z,1.2,85,11.1,62.2,0.8199
2004-03-24T01:00:00Z,1.1,79,10.8,62.5,0.8082
2004-03-24T02:00:00Z,0.9,61,11.3,60,0.8025
2004-03-24T05:00:00Z,0.6,54,10.9,58.6,0.7628
2004-03-24T06:00:00Z,0.8,57,10.8,57.2,0.7382
2004-03-24T07:00:00Z,1.2,75,10.4,59.2,0.7455
2004-03-24T08:00:00Z,3.1,97,11,57.3,0.7501
2004-03-24T09:00:00Z,4.4,110,11.2,56.9,0.7565
2004-03-24T10:00:00Z,3.4,113,12.1,54.9,0.7734
2004-03-24T11:00:00Z,1.7,88,15.1,44.3,0.7535
2004-03-24T12:00:00Z,1.5,85,15.6,40.6,0.7146
2004-03-24T13:00:00Z,1.7,96,16.9,34.6,0.6597
2004-03-24T14:00:00Z,2.2,106,16.6,35.6,0.6697
2004-03-24T16:00:00Z,2.7,126,9.6,81.1,0.972
2004-03-24T17:00:00Z,2.8,130,11.7,69.1,0.9497
2004-03-24T18:00:00Z,2.7,111,10.7,68.5,0.8794
2004-03-24T19:00:00Z,4.5,134,10.7,67.3,0.8643
2004-03-24T20:00:00Z,3.5,136,10.8,65.7,0.8486
2004-03-24T21:00:00Z,2.6,125,10.3,66.3,0.8336
2004-03-24T22:00:00Z,1.7,108,10.1,66.9,0.8248
2004-03-24T23:00:00Z,1.3,87,10.4,61.1,0.7717
2004-03-25T00:00:00Z,1.3,89,10.3,59.9,0.7516
2004-03-25T01:00:00Z,1,58,11,58.4,0.7686
2004-03-25T02:00:00Z,0.7,54,9.1,68.1,0.789
2004-03-25T04:00:00Z,0.5,28,9.3,72.3,0.8496
2004-03-25T05:00:00Z,0.5,20,9.9,66.8,0.8152
2004-03-25T06:00:00Z,0.6,51,7.6,83.2,0.8695
2004-03-25T07:00:00Z,1.1,82,8.1,79,0.8544
2004-03-25T08:00:00Z,2.7,112,8.7,74.6,0.8429
2004-03-25T09:00:00Z,3.5,119,8.6,75.1,0.8415
2004-03-25T10:00:00Z,2.3,99,9.7,69.7,0.8389
2004-03-25T11:00:00Z,1.6,98,11,64.4,0.8447
2004-03-25T12:00:00Z,1.3,88,13.6,53,0.8209
2004-03-25T13:00:00Z,2,96,14.2,48.4,0.778
2004-03-25T14:00:00Z,1.9,81,14.2,46.3,0.7438
2004-03-25T15:00:00Z,1.9,92,16,41.3,0.7462
2004-03-25T16:00:00Z,2.2,105,17.7,35.4,0.7094
2004-03-25T17:00:00Z,2,88,17.1,37.4,0.7225
2004-03-25T18:00:00Z,2.9,103,14.9,40.5,0.6835
2004-03-25T19:00:00Z,5.2,141,13.4,47.8,0.7293
2004-03-25T20:00:00Z,4.6,133,12.6,52.5,0.7642
2004-03-25T21:00:00Z,2.5,119,12.2,53.2,0.7555
2004-03-25T22:00:00Z,1.5,106,10.6,56.1,0.714
2004-03-25T23:00:00Z,1.2,92,9.9,59.5,0.7276
2004-03-26T00:00:00Z,1.7,97,9.6,61.1,0.7323
2004-03-26T01:00:00Z,1.4,91,9.7,61.6,0.7425
2004-03-26T02:00:00Z,1.2,83,9.4,62.6,0.7398
2004-03-26T04:00:00Z,0.7,59,8,69.4,0.7459
2004-03-26T05:00:00Z,0.8,73,7.7,72.4,0.7655
2004-03-26T06:00:00Z,0.9,78,8,71.8,0.7711
2004-03-26T07:00:00Z,1.6,90,8.5,66.3,0.7375
2004-03-26T08:00:00Z,3.4,110,9.8,59.6,0.7214
2004-03-26T09:00:00Z,3.8,114,11.2,57,0.7544
2004-03-26T10:00:00Z,3.1,119,14.8,44.1,0.7407
2004-03-26T11:00:00Z,2.7,121,16.8,35.3,0.6729
2004-03-26T12:00:00Z,2,97,19.2,27.1,0.5976
2004-03-26T13:00:00Z,2.3,99,19.1,26.2,0.5741
2004-03-26T14:00:00Z,1.9,85,16.3,30.8,0.5683
2004-03-26T15:00:00Z,1.3,75,14.2,36.8,0.5922
2004-03-26T16:00:00Z,1.9,87,13.4,41,0.6292
2004-03-26T17:00:00Z,2.3,102,14.2,43.3,0.6982
2004-03-26T18:00:00Z,2.4,105,12.1,45.6,0.6403
2004-03-26T19:00:00Z,2.7,98,10.4,48,0.6046
2004-03-26T20:00:00Z,2.6,93,10,51.1,0.628
2004-03-26T21:00:00Z,1.5,91,9.8,50.8,0.6172
2004-03-26T22:00:00Z,1.2,85,9.7,50.4,0.6063
2004-03-26T23:00:00Z,1.1,74,9.9,50.2,0.6103
2004-03-27T00:00:00Z,1.5,87,9.4,53.4,0.63
2004-03-27T01:00:00Z,1,79,8.6,57.8,0.6488
2004-03-27T02:00:00Z,1.2,78,8.1,62.1,0.6746
2004-03-27T05:00:00Z,0.8,48,8.2,58.9,0.6444
2004-03-27T06:00:00Z,0.9,59,6.3,66.6,0.641
2004-03-27T07:00:00Z,1.1,65,7.2,62.9,0.6396
2004-03-27T08:00:00Z,1.5,71,7.2,63.9,0.65
2004-03-27T09:00:00Z,1.8,84,11.1,50.5,0.6654
2004-03-27T10:00:00Z,2.1,93,15.5,36.1,0.6313
2004-03-27T11:00:00Z,2.1,99,17.8,29.2,0.592
2004-03-27T12:00:00Z,1.9,93,17.6,30.1,0.6013
2004-03-27T13:00:00Z,2.1,96,19.1,26.8,0.5861
2004-03-27T14:00:00Z,2.5,114,17.7,28.6,0.5735
2004-03-27T15:00:00Z,1.9,101,17.8,28.4,0.5737
2004-03-27T16:00:00Z,2.2,108,18.7,26,0.5555
2004-03-27T17:00:00Z,2.3,117,17.1,31.3,0.6038
2004-03-27T18:00:00Z,2.7,125,15.8,36.1,0.644
2004-03-27T19:00:00Z,3,133,14.7,40.1,0.6657
2004-03-27T20:00:00Z,2.8,119,13.6,44.9,0.6991
2004-03-27T21:00:00Z,2.2,107,12.5,48.1,0.6946
2004-03-27T22:00:00Z,1.6,96,11.8,50.8,0.7042
2004-03-27T23:00:00Z,2.1,105,10.9,56.1,0.7326
2004-03-28T00:00:00Z,2.3,102,10.9,55.9,0.7277
2004-03-28T01:00:00Z,2.3,97,10.3,58.1,0.7278
2004-03-28T02:00:00Z,1.7,79,9.3,62.2,0.7294
2004-03-28T04:00:00Z,1.3,69,8.3,64.9,0.7124
2004-03-28T05:00:00Z,0.8,52,9.6,58.5,0.7
2004-03-28T06:00:00Z,1.1,62,7.7,66.4,0.699
2004-03-28T07:00:00Z,1.4,69,7.4,68,0.7043
2004-03-28T08:00:00Z,1.3,75,9.7,58.6,0.7035
2004-03-28T09:00:00Z,1.9,83,12.5,50.1,0.7242
2004-03-28T10:00:00Z,2.3,94,16.8,36.9,0.7018
2004-03-28T11:00:00Z,2.3,96,19.2,31.3,0.6887
2004-03-28T12:00:00Z,1.8,86,21.3,26.4,0.6607
2004-03-28T13:00:00Z,1.4,72,21.2,23.1,0.5768
2004-03-28T14:00:00Z,1,53,18.6,25,0.5319
2004-03-28T15:00:00Z,1.4,65,18,27.3,0.5594
2004-03-28T16:00:00Z,1.3,70,18.2,28.3,0.5848
2004-03-28T17:00:00Z,1.3,75,17,31.4,0.6048
2004-03-28T18:00:00Z,1.4,86,15.6,35,0.617
2004-03-28T19:00:00Z,1.9,94,14.1,40.2,0.6438
2004-03-28T20:00:00Z,1.8,103,13.4,43.2,0.6623
2004-03-28T21:00:00Z,1.1,81,12.3,46.8,0.6686
2004-03-28T22:00:00Z,1.1,80,11.9,46.5,0.6449
2004-03-28T23:00:00Z,1.1,77,11.5,46.6,0.6319
2004-03-29T00:00:00Z,0.9,58,10.6,48,0.6135
2004-03-29T01:00:00Z,0.6,31,10.7,45.8,0.5895
2004-03-29T02:00:00Z,0.5,38,10.4,46.6,0.5901
2004-03-29T04:00:00Z,0.6,59,11.3,46.9,0.628
2004-03-29T05:00:00Z,0.7,70,10.1,51.2,0.6341
2004-03-29T06:00:00Z,0.9,75,9.9,50.7,0.6167
2004-03-29T07:00:00Z,2.9,103,8.1,56.8,0.615
2004-03-29T08:00:00Z,4.1,134,10.9,44.1,0.5748
2004-03-29T09:00:00Z,1.5,98,11.8,37.6,0.5184
2004-03-29T10:00:00Z,1.5,97,13.9,33.2,0.5222
2004-03-29T11:00:00Z,1.5,98,15.6,30.1,0.5285
2004-03-29T12:00:00Z,1.4,78,16.5,29,0.5406
2004-03-29T13:00:00Z,1.6,83,17.5,27.9,0.5517
2004-03-29T14:00:00Z,1.5,92,17.9,26.8,0.5446
2004-03-29T15:00:00Z,1.4,81,18.2,26.1,0.5387
